well,frame,cellID,x,y,r,area,totalIntensity.1,sdIntensity.1,totalIntensity.2,sdIntensity.2,denoisedTotalIntensity.1,denoisedTotalIntensityMult.1,denoisedTotalIntensity.2,denoisedTotalIntensityMult.2,denoisedNormalTotalIntensity.1,denoisedNormalTotalIntensityMult.1,denoisedNormalTotalIntensity.2,denoisedNormalTotalIntensityMult.2
E5,3,19631,574.9048,8.4683,535.5029,126,11744,24.7261,16187,25.9278,11357,11357,15465.914942881,15635.6404778234,11173.4997203204,11173.4997203204,15216.0250320313,15383.0082333354
E5,3,19633,578.4519,508.0593,69.3425,135,11239,16.6436,23271,21.2645,11357,11357,22972.4782351439,23534.4986709334,11173.4997203204,11173.4997203204,22601.3013238925,23154.2409366518
E5,3,19634,578.5887,533.3333,61.7721,141,11184,15.5174,22732,25.9335,11357,11357,22522.3405275274,23110.6062258221,11173.4997203204,11173.4997203204,22158.4366985373,22737.1975170078
E5,3,19635,586.0455,291.7803,254.016,132,11379,20.5325,11847,10.2714,11357,11357,11587.9404607574,11823.9964245991,11173.4997203204,11173.4997203204,11400.7087696893,11632.9506686033
E5,3,19636,598.2979,363.3546,181.5011,141,11430,16.407,22363,19.2142,11357,11357,21801.4226763372,22209.9503941669,11173.4997203204,11173.4997203204,21449.167049101,21851.0939964386
E5,3,19639,604.9837,268.5854,273.6641,123,11364,24.1805,21262,35.3865,11357,11357,20817.4558090119,21248.0246810293,11173.4997203204,11173.4997203204,20481.0985876355,20904.7105600812
E5,3,19640,605.1094,736.8906,199.9582,128,10428,17.4861,12113,11.6267,11357,11357,12641.9287915757,13210.3500979198,11173.4997203204,11173.4997203204,12437.6673256125,12996.9043871129
E5,3,19641,610.4016,224.4724,316.9128,127,11773,23.4166,17382,13.4957,11357,11357,16577.2740759658,16742.7507571079,11173.4997203204,11173.4997203204,16309.4274237456,16472.230421937
E5,3,19642,610.3521,160.5282,380.6283,142,11388,15.4375,32585,46.205,11357,11357,31853.7420383705,32486.3296760342,11173.4997203204,11173.4997203204,31339.0664574175,31961.4330852693
E5,3,19643,612.8819,657.9861,121.0624,144,11019,14.2382,15148,13.8838,11357,11357,15174.9587045869,15628.7916345183,11173.4997203204,11173.4997203204,14929.7699076847,15376.2700499459
E5,3,19644,614.8056,243.5278,297.5408,144,11797,15.6187,14453,11.6221,11357,11357,13763.0344859387,13902.4877094362,11173.4997203204,11173.4997203204,13540.6587989254,13677.858812463
E5,3,19645,616.4094,307.1102,234.0815,127,11042,21.3375,26062,34.9427,11357,11357,26067.9625682082,26875.1257445504,11173.4997203204,11173.4997203204,25646.770490904,26440.8919600519
E5,3,19646,617.4385,542.9231,22.7501,130,11131,18.6158,22872,29.6974,11357,11357,22741.1751349968,23372.6692203272,11173.4997203204,11173.4997203204,22373.7354944655,22995.0262390127
E5,3,19647,616.5775,115.993,424.6535,142,10827,13.1582,23336,29.2444,11357,11357,23684.8746550056,24575.2354132992,11173.4997203204,11173.4997203204,23302.1872266909,24178.1620161404
E5,3,19648,621.7481,412.5704,128.7301,135,11232,17.351,28608,47.4309,11357,11357,28254.0917172292,28958.4858176683,11173.4997203204,11173.4997203204,27797.5773444014,28490.5902249378
E5,3,19649,625.9322,707.2627,167.8533,118,9755,19.5225,11468,16.4908,11357,11357,12577.0317147158,13387.1183856976,11173.4997203204,11173.4997203204,12373.818820713,13170.8165482511
E5,3,19650,631.9638,387.5072,152.7044,138,11355,15.1233,16041,16.4452,11357,11357,15714.8647917629,16043.9299129195,11173.4997203204,11173.4997203204,15460.9524835463,15784.7007479832
E5,3,19653,637.5308,56.4615,483.5448,130,12258,23.3552,17699,21.6376,11357,11357,16380.7829101152,16349.2938478932,11173.4997203204,11173.4997203204,16116.1110561594,16085.1307772185
E5,3,19654,641.5038,272.9847,267.0195,131,11472,21.7818,20666,15.729,11357,11357,20092.204562074,20445.8611012875,11173.4997203204,11173.4997203204,19767.5655591225,20115.5079067487
E5,3,19655,646.2741,297.0963,242.9847,135,11595,19.0313,21567,18.4239,11357,11357,20802.6852576361,21095.2807889536,11173.4997203204,11173.4997203204,20466.5666908612,20754.4346214188
E5,3,19656,646.2,74.6,465.4413,145,12624,19.6137,19438,18.0854,11357,11357,17601.2422865244,17402.7839417882,11173.4997203204,11173.4997203204,17316.8509083183,17121.5991464618
E5,3,19657,645.8043,180.2101,359.8367,138,11743,16.7924,23899,26.7503,11357,11357,22835.8120051785,23054.9203836484,11173.4997203204,11173.4997203204,22466.8432731488,22682.4114166333
E5,3,19658,655.6908,140.2303,400.0775,152,12121,13.4993,24252,26.4459,11357,11357,22633.9535016645,22614.5074097233,11173.4997203204,11173.4997203204,22268.2462904458,22249.1143979683
E5,3,19659,658.3041,439.7432,101.914,148,10776,11.053,26459,21.0528,11357,11357,26948.9443993197,28027.5938762164,11173.4997203204,11173.4997203204,26513.5178928175,27574.7391333237
E5,3,19661,660.8514,609.3851,72.4505,148,10319,9.1687,24299,28.9891,11357,11357,25558.8230026269,26981.8652792977,11173.4997203204,11173.4997203204,25145.8573277775,26545.9068549753
E5,3,19663,666.4262,949.3033,410.1555,122,10408,18.9214,20513,30.8811,11357,11357,21439.2855921051,22527.0906058519,11173.4997203204,11173.4997203204,21092.8811805278,22163.1100276586
E5,3,19665,675.9459,855.7162,317.7559,148,11230,13.7142,19118,19.8524,11357,11357,18883.990657902,19346.61270568,11173.4997203204,11173.4997203204,18578.8733234657,19034.0205737485
E5,3,19666,674.1643,671.4571,135.8241,140,10458,12.0793,22386,27.0495,11357,11357,23313.6936664945,24475.7850688022,11173.4997203204,11173.4997203204,22937.0035803655,24080.3185366632
E5,3,19668,680.6912,98.9044,442.9685,136,12205,23.0658,16366,20.795,11357,11357,15195.9117387256,15194.7431712197,11173.4997203204,11173.4997203204,14950.3843940005,14949.2347075781
E5,3,19670,684.8687,266.7625,276.897,160,11352,9.4794,24376,20.3143,11357,11357,23885.0921036597,24387.6153739292,11173.4997203204,11173.4997203204,23499.1696698132,23993.5734401584
E5,3,19671,683.3259,735.9852,200.717,135,10402,14.6829,11978,11.3634,11357,11357,12524.2440711118,13095.2225776913,11173.4997203204,11173.4997203204,12321.8840913791,12883.6370352529
E5,3,19672,688.1269,1034.1567,496.4948,134,10081,12.0699,23503,20.604,11357,11357,25153.9262852468,26769.2465922027,11173.4997203204,11173.4997203204,24747.502713143,26336.7235459333
E5,3,19673,696.4101,486,78.0903,139,10954,12.5253,22107,25.4,11357,11357,22243.9162624648,22982.9220161754,11173.4997203204,11173.4997203204,21884.5110625588,22611.5763599438
E5,3,19674,695.8175,891.8248,356.2251,137,10289,11.8516,12862,11.3507,11357,11357,13558.1519408033,14230.9914861078,11173.4997203204,11173.4997203204,13339.0866354343,14001.0548023164
E5,3,19676,702.1391,842.1589,308.4822,151,10522,9.5138,24153,27.2992,11357,11357,25040.1454064292,26248.9591151785,11173.4997203204,11173.4997203204,24635.5602443884,25824.8425933035
E5,3,19677,701.0132,969.6118,433.9227,152,10631,10.1722,15067,13.6616,11357,11357,15501.2531745934,16135.9820639355,11173.4997203204,11173.4997203204,15250.7922876582,15875.2655699989
E5,3,19678,702.4236,659.7014,135.0005,144,10311,10.5002,26291,26.5128,11357,11357,27670.042853982,29242.8940287323,11173.4997203204,11173.4997203204,27222.9652276324,28770.4031215461
E5,3,19679,703.6805,27.9053,516.0389,169,12055,9.0236,21259,19.8824,11357,11357,19921.2979628016,19956.0908120221,11173.4997203204,11173.4997203204,19599.4203764888,19633.6510616199
E5,3,19681,705.5969,463.9147,100.4586,129,10831,17.4335,15735,13.2744,11357,11357,15965.8565527837,16530.6435789003,11173.4997203204,11173.4997203204,15707.8888550853,16263.5503570977
E5,3,19682,708.131,312.2069,237.7636,145,11248,13.8457,25003,22.9271,11357,11357,24667.5838607076,25266.1522435169,11173.4997203204,11173.4997203204,24269.0183471512,24857.9153849176
E5,3,19683,711.381,567.4127,76.4637,126,11132,20.7346,20871,29.8992,11357,11357,20750.2354346646,21321.6061673223,11173.4997203204,11173.4997203204,20414.9643238361,20977.1031564108
E5,3,19684,712.9653,818.6181,288.0138,144,10621,12.8255,26384,23.4203,11357,11357,27163.4137994179,28398.4669885913,11173.4997203204,11173.4997203204,26724.5220120404,27939.6198780094
E5,3,19685,723.8831,694.2273,175.5632,154,10275,7.9816,20186,13.315,11357,11357,21300.1004238966,22475.567238832,11173.4997203204,11173.4997203204,20955.9448911865,22112.4191474096
E5,3,19686,727.145,444.3664,129.3833,131,11065,17.6793,16383,14.6612,11357,11357,16361.431800586,16833.80991367,11173.4997203204,11173.4997203204,16097.0726114193,16561.8182937676
