#wells,B4
#channel,3
#pathname,Z:/DATA/201112/20111205/201112051201_HCEC+LRHCL+TapYFP_Hoechst_subtracted/B4
#halo_size,8
#nuclear_channel,1
#segment_params.inequalities,Area<3000 Area>200 Solidity>.90 
#segment_params.threshold,800
mad_nucleus,median_nucleus,mean_nucleus,std_nucleus,max_nucleus,sum_nucleus,length_nucleus,mad_halo,median_halo,mean_halo,std_halo,max_halo,sum_halo,length_halo
159.61,2397,2366,206.9,2781,1.1593e+006,490,564.21,1750,1582.6,667.11,2453,1.2186e+006,770
191.9,1716,1660.8,263.2,2139,1.0181e+006,613,490.98,1080,950.58,548.69,1838,8.1179e+005,854
377.78,3461,3337.4,454.54,3998,1.6187e+006,485,1040.7,1772.5,1852.5,1184.8,3893,1.4264e+006,770
373.49,2411,2237.4,491.46,2869,1.0628e+006,475,837.28,1824.5,1431.6,905.83,2671,1.1167e+006,780
332.55,1767,1753.1,405.42,2512,8.8883e+005,507,544.14,1145.5,1112.8,641.86,2517,8.7685e+005,788
37.14,81,85.97,47.352,362,49433,575,242.82,117,262.98,346.09,1948,2.0881e+005,794
627.35,3451.5,3298.1,747.7,4468,1.2401e+006,376,921.54,1285,1453.8,1082.4,4107,1.0715e+006,737
361.54,2377,2232.1,437.15,2898,1.3482e+006,604,630.83,1693,1610.8,713,2860,1.3208e+006,820
147.29,1574.5,1551.2,183.83,2279,8.3144e+005,536,646.74,1499,1664.8,932.45,4429,1.3102e+006,787
334.03,2731,2629.2,435.71,3259,1.4566e+006,554,875.37,738,1119.4,962.19,2919,9.19e+005,821
302.02,4067,4009.7,369.35,4775,2.8188e+006,703,869.72,2966,2822.5,1089.9,4337,2.5008e+006,886
787.16,5039.5,4703.3,1005.4,5949,1.8907e+006,402,1612.3,1680,2088.5,1807.6,5725,1.5037e+006,720
295.88,2898.5,2837.3,399.75,3816,1.7875e+006,630,891.12,1797,1556.3,991.84,3341,1.3415e+006,862
30.995,64,65.518,37.771,184,19721,301,32.667,58,64.197,40.547,239,39802,620
260.3,3221,3155.7,308.68,3762,2.4078e+006,763,413.76,2420,2459,532.55,3554,2.25e+006,915
46.575,112,122.3,74.513,591,69953,572,42.653,113,120.36,57.91,396,97611,811
183.92,2620,2571.6,225.5,2993,1.4786e+006,575,453,2151,2007.1,541.59,2866,1.7061e+006,850
223.39,3226,3244.7,275.75,4111,6.1812e+006,1905,238.58,2865,2884.2,286.34,3566,4.2139e+006,1461
331.99,3618,3564.5,414.54,4315,1.6789e+006,471,762.67,1572,1583.7,881.6,3410,1.1909e+006,752
216.63,2623,2584.9,269.93,3223,3.0967e+006,1198,321.4,1916,1857.8,389.76,2608,2.2238e+006,1197
195.44,1929,1853,265.37,2284,9.8951e+005,534,590.08,1169,1081.2,672.42,2433,8.4656e+005,783
40.032,305,307.46,49.91,454,3.5204e+005,1145,76.864,305,327.32,125.94,1228,3.4958e+005,1068
439.81,4976,4835.1,606.84,5682,2.6158e+006,541,1479,2368,2465.6,1640.4,5204,1.9577e+006,794
421.35,3542,3407.9,572.38,4237,1.6188e+006,475,1167,1570.5,1683.8,1275.9,3909,1.2932e+006,768
221.25,1667,1595.9,282.46,2070,6.2719e+005,393,515.74,1009.5,890.58,567.74,1908,6.43e+005,722
319.97,2705,2578.1,439.89,3167,1.24e+006,481,877.74,1008.5,1218.9,956.41,2820,9.4588e+005,776
1875.5,6840.5,6396.6,2172.7,9405,2.8401e+006,444,1347.6,1239.5,1805.4,1746,8544,1.4552e+006,806
226.03,2845,2781.2,271.13,3324,4.6919e+006,1687,509.91,2587.5,2396.9,650.13,3464,3.4419e+006,1436
122.77,1753,1725,152.69,2115,7.0036e+005,406,407.42,1204,1115.3,524.78,2771,8.2089e+005,736
360.06,2722.5,2592,484.93,3334,9.2792e+005,358,761.71,1296.5,1263.3,899.82,2964,8.3881e+005,664
147.44,2276,2264.4,181.7,2741,1.293e+006,571,196.52,1862.5,1839.8,249.66,2397,1.505e+006,818
70.309,449,451.55,87.847,697,3.1473e+005,697,89.442,312,311.87,107.07,562,2.7632e+005,886
372.79,2920.5,2761.3,486.06,3364,9.6647e+005,350,893.67,1115.5,1283.1,977.09,2923,8.828e+005,688
49.65,462,457.55,63.593,648,2.878e+005,629,85.837,379,353.37,110.82,582,2.9718e+005,841
441.8,3346,3197.9,541.27,4047,1.762e+006,551,778.32,2665.5,2391.6,957.44,3689,1.942e+006,812
348.08,3553,3456.7,436.35,4182,1.3827e+006,400,1092.6,1673.5,1827.7,1268.5,4140,1.3416e+006,734
447.75,3974,3813,568.03,4671,1.9294e+006,506,1010.4,2826.5,2499.1,1173.3,4118,1.9293e+006,772
317.24,5292,5236.4,384.92,5994,3.5712e+006,682,622.8,4225,4018.8,864.61,5389,3.4884e+006,868
144.05,1629,1590,177.69,1934,9.4925e+005,597,361.9,1193,1044.2,447.69,1740,8.7399e+005,837
1133.3,7176,6802.9,1374.9,8830,3.1769e+006,467,1796.8,1923,2466.9,2163.4,8159,1.8625e+006,755
442.14,2639,2466.7,567.58,3249,8.3128e+005,337,766.53,627.5,967.15,893.05,2884,6.6153e+005,684
207.06,3184,3138.2,255.53,3673,1.4153e+006,451,846.86,2131,1918.6,972.55,3442,1.4927e+006,778
98.542,1326,1313.6,126.94,1609,9.6814e+005,737,207.94,1009,981.91,253.14,1496,8.7193e+005,888
312.05,4332.5,4288.1,382.89,4954,1.6724e+006,390,991.64,2785,2506.2,1160.9,4316,1.9047e+006,760
443.66,3010,2803.3,562.85,3533,1.1101e+006,396,903.5,863,1190.5,1011.8,3236,8.905e+005,748
978.1,7042,6765.1,1213.3,8478,3.5855e+006,530,1744,2030,2515.9,2056.2,7719,1.9574e+006,778
551.81,3355,3174.6,704.17,4087,1.3111e+006,413,1216.6,698,1402.4,1355.8,4054,1.0139e+006,723
333.22,5058,5017.9,436.28,6003,4.2502e+006,847,740.25,4300,3973,948.23,5237,3.8975e+006,981
305.6,2858,2735.5,400.65,3356,1.3322e+006,487,862.55,1451,1478.2,967.79,3037,1.153e+006,780
448.99,2946,2819.3,588.68,3866,1.373e+006,487,899.1,1702,1558.8,1004,3183,1.1971e+006,768
108.6,1560,1531.8,134.81,1816,9.5894e+005,626,211.84,1185,1178.8,272.56,1699,9.9372e+005,843
437.92,2504,2307.1,558.18,3051,8.7439e+005,379,833.56,1115.5,1197.1,933.35,2999,8.2601e+005,690
399.05,2067,2221.9,529.82,4908,2.0775e+006,935,790.53,2115,2414.8,953.72,5800,2.381e+006,986
142.98,2360,2343.6,176.4,2717,2.1186e+006,904,326.33,1912,1790.3,417.17,2444,1.7348e+006,969
439.25,2352.5,2318.1,516.02,3342,8.3451e+005,360,573.33,1816.5,2041,707.9,3639,1.4083e+006,690
195.84,1934,1896.2,232.3,2345,1.7312e+006,913,183.5,1572,1572.5,227.84,2107,1.582e+006,1006
178.94,1464,1439.7,240.72,2147,6.2915e+005,437,537.41,1116,954.15,613.24,2185,7.824e+005,820
193.79,1919,1874.1,244.59,2410,1.4205e+006,758,342.5,1719.5,1615.3,413.57,2584,1.4506e+006,898
189.28,2247,2204.2,226.74,2662,1.5011e+006,681,279.5,1727,1738.9,351.77,2454,1.532e+006,881
251.58,4344,4263.9,331.27,4843,1.4455e+006,339,1158.2,3079,2645.7,1332.1,4471,1.815e+006,686
314.65,3230,3154.5,390.82,3862,1.7318e+006,549,868.07,1776,1656.7,998.25,3444,1.3171e+006,795
226.95,2197.5,2185.7,272.91,2755,2.7277e+006,1248,428.66,1651.5,1544.8,557.91,2478,1.9155e+006,1240
312.97,3306.5,3250,388.63,3935,1.1765e+006,362,728.67,1819.5,1762.9,877.7,4284,1.227e+006,696
1825,2660,3407.7,2111.6,8127,1.5335e+006,450,2108.1,1023,2213.7,2603.1,8448,1.7311e+006,782
116.31,2734.5,2720.9,147.83,3125,1.6978e+006,624,434.49,2342,2198.6,582.66,3262,1.8578e+006,845
67.788,782,775.47,84.733,991,4.1798e+005,539,195.1,543,490.77,230.88,895,3.9164e+005,798
40.189,132,136.5,52.775,378,58696,430,87.935,142,181.36,136.28,854,1.362e+005,751
